JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458833.71125,13.918,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.011,Z,18.494,18.166,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.71661,13.930,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.012,Z,18.497,18.176,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.72196,13.950,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.015,Z,18.464,18.158,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.72730,13.936,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.018,Z,18.461,18.155,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73076,13.920,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.021,Z,18.478,18.147,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73405,13.930,0.015,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.023,Z,18.495,18.138,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73479,13.936,0.015,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.024,Z,18.496,18.136,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73515,13.940,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.025,Z,18.465,18.150,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73547,12.441,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.025,Z,19.594,19.195,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73604,12.431,0.020,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.025,Z,19.604,19.224,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.73954,13.921,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.029,Z,18.481,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.74392,13.947,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.034,Z,18.478,18.163,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.74833,13.934,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.040,Z,18.501,18.174,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.75272,13.925,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.047,Z,18.495,18.173,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.75705,13.920,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.055,Z,18.497,18.175,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.76138,13.948,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.063,Z,18.492,18.180,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.76569,13.919,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.071,Z,18.497,18.173,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.77002,13.926,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.081,Z,18.490,18.155,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.77435,13.933,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.091,Z,18.497,18.173,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.77868,13.935,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.103,Z,18.507,18.194,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.78301,13.936,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.115,Z,18.520,18.209,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.78734,13.943,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.128,Z,18.508,18.191,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.79167,13.939,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.142,Z,18.506,18.196,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.79600,13.931,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.157,Z,18.522,18.198,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.80032,13.953,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.173,Z,18.508,18.197,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.80465,13.949,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.190,Z,18.511,18.196,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.80899,13.958,0.011,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.209,Z,18.519,18.194,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.81332,13.931,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.228,Z,18.516,18.188,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.81767,13.932,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.250,Z,18.519,18.192,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.82200,13.934,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.272,Z,18.508,18.191,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.82635,13.918,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.296,Z,18.508,18.182,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.82909,13.907,0.016,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.313,Z,18.543,18.159,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.82981,13.919,0.016,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.317,Z,18.531,18.151,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.83050,12.436,0.020,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.321,Z,19.595,19.212,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.83068,13.945,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.322,Z,18.508,18.187,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.83106,12.442,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.325,Z,19.606,19.214,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.83502,13.935,0.011,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.350,Z,18.522,18.185,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.83911,13.934,0.011,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.378,Z,18.649,18.318,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.84319,13.965,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.407,Z,18.666,18.336,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.84727,13.931,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.439,Z,18.715,18.389,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.85135,13.950,0.011,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.473,Z,18.636,18.317,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.85543,13.937,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.509,Z,18.657,18.325,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.85950,13.924,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.548,Z,18.626,18.307,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.86358,13.936,0.012,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.589,Z,18.629,18.316,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458833.86765,13.935,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.633,Z,18.608,18.297,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.59172,13.981,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.240,Z,18.528,18.210,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.59247,13.985,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.236,Z,18.515,18.219,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.59314,12.460,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.233,Z,19.605,19.263,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.59370,12.563,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.230,Z,19.546,19.263,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458834.61686,13.933,0.010,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.138,Z,18.551,18.164,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
