HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457375.55194,2015-12-19.0486439,be,1.55,16.150,13.659,0.022,13.192,0.267,V
2457375.55323,2015-12-19.0499321,be,1.57,16.061,13.601,0.023,13.910,0.290,V
2457376.83684,2015-12-20.3335395,be,1.50,16.270,13.617,0.019,13.708,0.239,V
2457376.83813,2015-12-20.3348275,be,1.51,16.294,13.616,0.018,13.718,0.234,V
2457376.83940,2015-12-20.3361061,be,1.46,16.254,13.640,0.020,13.425,0.243,V
2457377.71217,2015-12-21.2088700,be,1.47,16.186,13.651,0.021,13.293,0.258,V
2457377.71345,2015-12-21.2101451,be,1.49,16.149,13.649,0.022,13.318,0.268,V
2457377.71472,2015-12-21.2114186,be,1.47,16.175,13.633,0.021,13.505,0.261,V
2457378.53200,2015-12-22.0286998,be,1.70,15.708,13.617,0.032,13.710,0.401,V
2457378.53329,2015-12-22.0299876,be,1.71,15.721,13.593,0.031,14.012,0.396,V
2457378.53458,2015-12-22.0312751,be,1.72,15.865,13.595,0.027,13.990,0.347,V
2457379.84963,2015-12-23.3463335,be,1.45,16.185,13.646,0.021,13.346,0.259,V
2457379.85092,2015-12-23.3476231,be,1.45,16.256,13.629,0.019,13.556,0.242,V
2457379.85220,2015-12-23.3488991,be,1.45,16.229,13.619,0.020,13.685,0.248,V
2457380.82788,2015-12-24.3245841,be,1.54,15.832,13.643,0.029,13.389,0.358,V
2457380.82917,2015-12-24.3258684,be,1.52,15.732,13.640,0.032,13.421,0.392,V
2457380.83044,2015-12-24.3271454,be,1.53,15.834,13.686,0.030,12.863,0.356,V
2457384.82508,2015-12-28.3217943,be,1.49,15.845,13.643,0.029,13.394,0.353,V
2457384.82635,2015-12-28.3230678,be,1.45,15.883,13.636,0.028,13.479,0.341,V
2457384.82764,2015-12-28.3243562,be,1.42,15.939,13.629,0.026,13.551,0.324,V
2457385.72613,2015-12-29.2228535,be,1.51,16.126,13.655,0.022,13.237,0.273,V
2457385.72741,2015-12-29.2241387,be,1.45,16.139,13.602,0.021,13.899,0.270,V
2457385.72870,2015-12-29.2254310,be,1.49,16.115,13.637,0.022,13.467,0.276,V
2457387.75392,2015-12-31.2506605,be,1.43,16.255,13.660,0.020,13.181,0.242,V
2457388.78813,2016-01-01.2848815,be,1.41,16.261,13.656,0.020,13.224,0.241,V
2457388.78941,2016-01-01.2861583,be,1.41,16.222,13.616,0.020,13.727,0.250,V
2457388.79068,2016-01-01.2874341,be,1.40,16.168,13.618,0.021,13.690,0.263,V
2457390.75037,2016-01-03.2471436,be,1.41,16.293,13.643,0.019,13.380,0.235,V
2457390.75165,2016-01-03.2484185,be,1.47,16.280,13.644,0.019,13.379,0.237,V
2457390.75293,2016-01-03.2497087,be,1.39,16.256,13.632,0.019,13.533,0.243,V
2457395.70116,2016-01-08.1980048,be,1.65,16.310,13.653,0.019,13.270,0.231,V
2457395.70245,2016-01-08.1992957,be,1.66,16.273,13.648,0.019,13.324,0.238,V
2457395.70383,2016-01-08.2006728,be,1.67,16.259,13.626,0.019,13.597,0.242,V
2457396.54578,2016-01-09.0426428,be,2.06,16.175,13.661,0.022,13.169,0.261,V
2457396.54706,2016-01-09.0439209,be,2.05,16.250,13.650,0.020,13.300,0.244,V
2457396.54835,2016-01-09.0452070,be,2.01,16.242,13.659,0.020,13.194,0.246,V
2457397.66674,2016-01-10.1636240,be,1.45,16.286,13.632,0.019,13.527,0.236,V
2457397.66803,2016-01-10.1649129,be,1.49,16.274,13.606,0.019,13.854,0.239,V
2457397.66932,2016-01-10.1662016,be,1.46,16.256,13.632,0.019,13.532,0.242,V
2457399.76818,2016-01-12.2651006,be,1.54,16.215,13.627,0.020,13.588,0.252,V
2457399.76946,2016-01-12.2663854,be,1.51,16.234,13.634,0.020,13.495,0.247,V
2457399.77074,2016-01-12.2676605,be,1.57,16.212,13.611,0.020,13.791,0.252,V
2457402.77952,2016-01-15.2765094,be,1.48,16.261,13.637,0.019,13.458,0.241,V
2457402.78080,2016-01-15.2777859,be,1.44,16.249,13.655,0.020,13.248,0.244,V
2457402.78207,2016-01-15.2790598,be,1.44,16.280,13.638,0.019,13.452,0.237,V
2457403.54536,2016-01-16.0423663,be,1.62,16.210,13.652,0.021,13.287,0.253,V
2457403.54665,2016-01-16.0436563,be,1.65,16.240,13.644,0.020,13.374,0.246,V
2457403.54792,2016-01-16.0449328,be,1.58,16.234,13.636,0.020,13.483,0.247,V
2457404.73740,2016-01-17.2344454,be,1.41,16.270,13.608,0.019,13.822,0.239,V
2457404.73870,2016-01-17.2357429,be,1.42,16.275,13.623,0.019,13.636,0.238,V
2457404.73999,2016-01-17.2370302,be,1.47,16.279,13.647,0.019,13.338,0.237,V
2457405.69940,2016-01-18.1964690,be,1.41,16.215,13.635,0.020,13.483,0.251,V
2457405.70068,2016-01-18.1977495,be,1.48,16.215,13.624,0.020,13.627,0.251,V
2457405.70196,2016-01-18.1990262,be,1.47,16.267,13.635,0.019,13.497,0.240,V
2457407.68319,2016-01-20.1803136,be,1.59,16.013,13.651,0.025,13.290,0.303,V
2457407.68446,2016-01-20.1815862,be,1.55,15.982,13.628,0.025,13.570,0.311,V
2457407.68576,2016-01-20.1828792,be,1.59,15.953,13.651,0.026,13.291,0.320,V
2457409.77388,2016-01-22.2710667,be,1.53,15.629,13.669,0.036,13.078,0.431,V
2457409.77517,2016-01-22.2723513,be,1.49,15.631,13.690,0.037,12.816,0.430,V
2457409.77646,2016-01-22.2736405,be,1.46,15.597,13.656,0.037,13.234,0.443,V
2457410.67038,2016-01-23.1675902,be,1.67,15.735,13.665,0.032,13.120,0.391,V
2457410.67167,2016-01-23.1688835,be,1.70,15.650,13.659,0.035,13.189,0.422,V
2457410.67295,2016-01-23.1701592,be,1.74,15.719,13.584,0.031,14.143,0.397,V
2457413.78848,2016-01-26.2857966,be,1.50,15.789,13.551,0.028,14.566,0.373,V
2457413.78976,2016-01-26.2870704,be,1.48,15.728,13.601,0.031,13.917,0.394,V
2457413.79105,2016-01-26.2883626,be,1.50,15.786,13.647,0.030,13.346,0.373,V
2457415.72164,2016-01-28.2190200,be,1.44,16.088,13.585,0.022,14.124,0.283,V
2457415.72291,2016-01-28.2202918,be,1.42,16.108,13.562,0.021,14.424,0.277,V
2457415.72419,2016-01-28.2215667,be,1.40,16.099,13.640,0.023,13.426,0.280,V
2457418.74740,2016-01-31.2448885,be,1.45,16.115,13.645,0.022,13.355,0.276,V
2457418.74868,2016-01-31.2461670,be,1.43,16.175,13.638,0.021,13.447,0.261,V
2457419.74702,2016-02-01.2445465,be,1.41,16.189,13.618,0.020,13.692,0.258,V
2457420.74257,2016-02-02.2401349,be,1.44,16.253,13.706,0.021,12.639,0.243,V
2457420.74385,2016-02-02.2414208,be,1.45,16.168,13.625,0.021,13.621,0.263,V
2457420.74515,2016-02-02.2427192,be,1.49,16.176,13.629,0.021,13.559,0.261,V
2457421.74198,2016-02-03.2395829,be,1.43,16.227,13.632,0.020,13.516,0.249,V
2457421.74326,2016-02-03.2408702,be,1.41,16.199,13.642,0.021,13.403,0.255,V
2457421.74455,2016-02-03.2421548,be,1.43,16.189,13.662,0.021,13.162,0.257,V
2457422.60784,2016-02-04.1054755,be,1.44,16.304,13.641,0.019,13.421,0.232,V
2457422.60912,2016-02-04.1067637,be,1.42,16.290,13.662,0.019,13.163,0.235,V
2457422.61041,2016-02-04.1080515,be,1.43,16.250,13.604,0.019,13.882,0.244,V
2457423.56576,2016-02-05.0634423,be,1.41,16.046,13.604,0.023,13.880,0.294,V
2457423.56671,2016-02-05.0643908,be,1.39,16.029,13.641,0.024,13.414,0.299,V
2457423.56765,2016-02-05.0653337,be,1.42,16.031,13.676,0.025,12.981,0.298,V
2457424.70487,2016-02-06.2025984,be,1.44,16.250,13.619,0.019,13.697,0.244,V
2457424.70616,2016-02-06.2038875,be,1.43,16.211,13.619,0.020,13.689,0.252,V
2457424.70745,2016-02-06.2051738,be,1.46,16.243,13.645,0.020,13.361,0.245,V
2457426.72718,2016-02-08.2249964,be,1.46,16.263,13.653,0.020,13.264,0.241,V
2457426.72847,2016-02-08.2262836,be,1.45,16.216,13.637,0.020,13.459,0.251,V
2457426.72976,2016-02-08.2275682,be,1.50,16.210,13.624,0.020,13.620,0.253,V
2457427.63196,2016-02-09.1298177,be,1.48,16.299,13.649,0.019,13.322,0.233,V
2457427.63326,2016-02-09.1311100,be,1.41,16.281,13.648,0.019,13.322,0.237,V
2457427.63455,2016-02-09.1324052,be,1.44,16.227,13.613,0.020,13.771,0.249,V
2457429.71734,2016-02-11.2152890,be,1.56,16.194,13.650,0.021,13.300,0.256,V
2457429.71863,2016-02-11.2165746,be,1.55,16.221,13.603,0.020,13.896,0.250,V
2457429.71992,2016-02-11.2178652,be,1.57,16.160,13.616,0.021,13.727,0.265,V
2457431.70418,2016-02-13.2022201,be,1.64,16.216,13.629,0.020,13.558,0.251,V
2457431.70546,2016-02-13.2034995,be,1.61,16.199,13.619,0.020,13.692,0.256,V
2457431.70676,2016-02-13.2047952,be,1.54,16.185,13.640,0.021,13.413,0.259,V
2457434.70189,2016-02-16.2000741,be,1.59,16.213,13.630,0.020,13.554,0.252,V
2457434.70317,2016-02-16.2013490,be,1.55,16.237,13.658,0.020,13.205,0.246,V
2457434.70444,2016-02-16.2026276,be,1.57,16.232,13.661,0.020,13.161,0.247,V
2457437.69565,2016-02-19.1939881,be,1.50,15.961,13.680,0.027,12.939,0.318,V
2457437.69695,2016-02-19.1952810,be,1.48,15.979,13.650,0.026,13.294,0.312,V
2457437.69822,2016-02-19.1965555,be,1.44,15.883,13.619,0.027,13.688,0.342,V
2457439.55273,2016-02-21.0511496,be,1.62,15.921,13.665,0.027,13.121,0.330,V
2457439.55401,2016-02-21.0524377,be,1.60,15.953,13.633,0.026,13.508,0.320,V
2457439.55530,2016-02-21.0537263,be,1.62,15.922,13.658,0.027,13.202,0.329,V
2457440.68279,2016-02-22.1812737,be,1.45,15.737,13.686,0.033,12.866,0.390,V
2457440.68408,2016-02-22.1825589,be,1.47,15.764,13.635,0.031,13.480,0.381,V
2457440.68535,2016-02-22.1838371,be,1.45,15.776,13.680,0.032,12.949,0.377,V
2457441.62159,2016-02-23.1201229,be,1.49,15.880,13.644,0.028,13.381,0.342,V
2457441.62288,2016-02-23.1214114,be,1.44,15.800,13.583,0.028,14.155,0.368,V
2457441.62416,2016-02-23.1226869,be,1.51,15.764,13.658,0.031,13.204,0.381,V
2457444.67552,2016-02-26.1742164,be,1.42,15.952,13.620,0.025,13.673,0.320,V
2457444.67684,2016-02-26.1755295,be,1.51,15.963,13.657,0.026,13.212,0.317,V
2457444.67813,2016-02-26.1768150,be,1.47,15.976,13.658,0.026,13.207,0.313,V
2457445.58673,2016-02-27.0854714,be,1.45,16.159,13.641,0.021,13.414,0.265,V
2457445.58802,2016-02-27.0867593,be,1.40,16.236,13.636,0.020,13.473,0.247,V
2457445.58931,2016-02-27.0880468,be,1.47,16.187,13.616,0.020,13.734,0.258,V
2457446.67004,2016-02-28.1688348,be,1.45,16.039,13.618,0.023,13.705,0.296,V
2457446.67132,2016-02-28.1701223,be,1.49,16.080,13.684,0.024,12.887,0.285,V
2457446.67260,2016-02-28.1714004,be,1.44,16.119,13.645,0.022,13.355,0.275,V
2457447.61629,2016-02-29.1151383,be,1.45,16.235,13.613,0.019,13.765,0.247,V
2457447.61758,2016-02-29.1164274,be,1.46,16.290,13.635,0.019,13.487,0.235,V
