JD,HJD,UT_date,FWHM,Diff,Limit,mag,mag_err,Filter
2458444.854,2458444.857,2018-11-22.3536998,1.53,-1.86,16.525,14.249,0.027,g
2458446.464,2458446.467,2018-11-23.9636655,1.6,-1.6,16.69,14.225,0.022,g
2458447.502,2458447.505,2018-11-25.0017393,1.52,-1.6,16.718,14.189,0.021,g
2458447.611,2458447.614,2018-11-25.1109212,1.51,-1.45,16.815,14.191,0.019,g
2458448.712,2458448.715,2018-11-26.2117872,1.51,-1.45,17.003,14.22,0.017,g
2458448.891,2458448.894,2018-11-26.3905528,1.56,-1.86,16.708,14.262,0.023,g
2458449.683,2458449.686,2018-11-27.1833636,1.48,-1.45,17.046,14.19,0.016,g
2458449.853,2458449.856,2018-11-27.3526223,1.58,-1.86,16.679,14.17,0.022,g
2458450.716,2458450.719,2018-11-28.2162947,1.45,-1.45,17.041,14.218,0.016,g
2458450.917,2458450.92,2018-11-28.4172997,1.57,-1.86,16.758,14.21,0.021,g
2458451.556,2458451.559,2018-11-29.0556096,1.55,-1.6,16.987,14.197,0.017,g
2458451.726,2458451.729,2018-11-29.2255261,1.44,-1.45,17.073,14.196,0.015,g
2458451.928,2458451.931,2018-11-29.4282793,1.56,-1.86,16.826,14.204,0.019,g
2458452.563,2458452.566,2018-11-30.0628686,1.48,-1.6,17.016,14.208,0.016,g
2458452.726,2458452.729,2018-11-30.2255810,1.39,-1.45,17.098,14.202,0.015,g
2458452.928,2458452.932,2018-11-30.4285038,1.64,-1.86,16.841,14.236,0.02,g
2458453.55,2458453.553,2018-12-01.0499763,1.52,-1.6,16.998,14.203,0.017,g
2458453.688,2458453.692,2018-12-01.1884056,1.48,-1.57,17.035,14.2,0.016,g
2458454.616,2458454.619,2018-12-02.1156659,1.38,-1.45,17.093,14.181,0.015,g
2458456.806,2458456.809,2018-12-04.3061418,1.48,-1.57,17.032,14.2,0.016,g
2458457.595,2458457.598,2018-12-05.0947155,1.45,-1.57,17.003,14.193,0.016,g
2458458.592,2458458.595,2018-12-06.0920607,1.45,-1.45,17.103,14.206,0.015,g
2458459.717,2458459.72,2018-12-07.2169873,1.5,-1.57,17.037,14.212,0.016,g
2458460.576,2458460.579,2018-12-08.0757373,1.43,-1.45,17.076,14.198,0.015,g
2458461.679,2458461.682,2018-12-09.1791682,1.45,-1.45,17.1,14.215,0.015,g
2458462.758,2458462.761,2018-12-10.2576252,1.48,-1.45,17.085,14.212,0.015,g
2458463.751,2458463.754,2018-12-11.2507622,1.39,-1.45,17.105,14.217,0.015,g
2458465.718,2458465.721,2018-12-13.2180486,1.44,-1.57,17.03,14.182,0.016,g
2458466.298,2458466.302,2018-12-13.7983954,1.71,-1.6,17.007,14.2,0.016,g
2458466.607,2458466.61,2018-12-14.1069781,1.42,-1.45,17.055,14.198,0.016,g
2458467.508,2458467.511,2018-12-15.0075224,1.6,-1.6,17.033,14.203,0.016,g
2458468.451,2458468.454,2018-12-15.9508429,1.58,-1.6,17.005,14.205,0.016,g
2458469.594,2458469.597,2018-12-17.0936626,1.44,-1.45,17.089,14.198,0.015,g
2458471.343,2458471.347,2018-12-18.8431828,1.52,-1.6,16.078,14.176,0.038,g
2458471.857,2458471.86,2018-12-19.3569974,1.65,-1.86,16.593,14.264,0.025,g
2458472.423,2458472.426,2018-12-19.9228854,1.5,-1.6,16.928,14.198,0.018,g
2458472.639,2458472.643,2018-12-20.1394761,1.43,-1.45,16.937,14.188,0.017,g
2458472.823,2458472.827,2018-12-20.3232487,1.58,-1.86,16.654,14.248,0.024,g
2458473.637,2458473.641,2018-12-21.1371459,1.44,-1.57,16.888,14.188,0.018,g
2458474.479,2458474.483,2018-12-21.9791368,1.62,-1.6,16.767,14.231,0.021,g
2458474.685,2458474.688,2018-12-22.1845059,1.46,-1.45,16.802,14.215,0.02,g
2458475.423,2458475.427,2018-12-22.9233439,1.52,-1.6,16.609,14.222,0.024,g
2458475.704,2458475.707,2018-12-23.2037019,1.53,-1.57,16.818,14.186,0.019,g
2458476.703,2458476.707,2018-12-24.2034122,1.45,-1.45,16.945,14.211,0.018,g
2458477.704,2458477.707,2018-12-25.2038166,1.5,-1.57,16.925,14.19,0.018,g
2458478.519,2458478.522,2018-12-26.0190827,1.58,-1.6,16.945,14.184,0.017,g
2458478.723,2458478.726,2018-12-26.2230375,1.43,-1.45,17.045,14.219,0.016,g
2458479.801,2458479.804,2018-12-27.3008960,1.5,-1.45,17.012,14.176,0.016,g
2458480.736,2458480.739,2018-12-28.2357650,1.47,-1.86,16.891,14.219,0.019,g
2458481.667,2458481.671,2018-12-29.1674357,1.41,-1.45,17.077,14.225,0.016,g
2458482.69,2458482.694,2018-12-30.1904234,1.5,-1.57,17.027,14.196,0.016,g
2458484.591,2458484.594,2019-01-01.0906408,1.41,-1.45,17.094,14.174,0.015,g
2458484.775,2458484.778,2019-01-01.2745260,1.61,-1.86,16.9,14.213,0.018,g
2458485.282,2458485.285,2019-01-01.7819046,1.6,-1.6,16.762,14.189,0.02,g
2458485.762,2458485.765,2019-01-02.2616552,1.47,-1.57,17.006,14.194,0.016,g
2458486.655,2458486.659,2019-01-03.1553519,1.45,-1.57,17.039,14.204,0.016,g
2458487.736,2458487.74,2019-01-04.2364733,1.41,-1.45,17.075,14.2,0.015,g
2458488.71,2458488.713,2019-01-05.2097170,1.45,-1.45,17.079,14.192,0.015,g
2458489.721,2458489.724,2019-01-06.2210146,1.39,-1.45,17.092,14.204,0.015,g
2458490.705,2458490.708,2019-01-07.2051912,1.52,-1.45,17.086,14.197,0.015,g
2458491.597,2458491.6,2019-01-08.0969876,1.45,-1.57,17.028,14.189,0.016,g
2458491.784,2458491.787,2019-01-08.2839865,1.54,-1.86,16.897,14.225,0.019,g
2458492.743,2458492.746,2019-01-09.2432582,1.4,-1.45,17.072,14.194,0.015,g
2458493.416,2458493.419,2019-01-09.9161949,1.53,-1.6,17.004,14.198,0.016,g
2458493.711,2458493.714,2019-01-10.2108188,1.47,-1.57,17.031,14.212,0.016,g
2458495.801,2458495.804,2019-01-12.3005366,1.56,-1.86,16.88,14.207,0.019,g
2458497.494,2458497.497,2019-01-13.9940503,1.39,-1.6,17.021,14.189,0.016,g
2458498.29,2458498.293,2019-01-14.7902096,2.25,-1.6,17.02,14.21,0.016,g
2458498.688,2458498.691,2019-01-15.1878833,1.51,-1.86,16.765,14.175,0.02,g
2458499.313,2458499.316,2019-01-15.8127523,1.54,-1.6,16.991,14.211,0.017,g
2458499.573,2458499.576,2019-01-16.0733238,1.49,-1.57,17.032,14.193,0.016,g
2458500.577,2458500.58,2019-01-17.0769037,1.58,-1.57,16.963,14.195,0.017,g
2458500.795,2458500.798,2019-01-17.2946480,1.48,-1.86,15.685,14.217,0.056,g
2458501.358,2458501.361,2019-01-17.8577718,1.54,-1.6,16.931,14.234,0.018,g
2458501.6,2458501.603,2019-01-18.0996290,1.46,-1.57,16.939,14.2,0.017,g
2458502.641,2458502.644,2019-01-19.1412015,1.4,-1.45,16.913,14.239,0.019,g
2458503.782,2458503.785,2019-01-20.2822207,1.57,-1.57,16.664,14.173,0.022,g
2458504.364,2458504.367,2019-01-20.8638271,1.53,-1.6,16.653,14.179,0.022,g
2458504.715,2458504.718,2019-01-21.2152714,1.55,-1.86,16.873,14.24,0.019,g
2458505.556,2458505.559,2019-01-22.0558482,1.67,-1.57,16.901,14.178,0.018,g
2458506.625,2458506.627,2019-01-23.1246002,1.47,-1.45,16.984,14.196,0.017,g
2458507.66,2458507.663,2019-01-24.1597559,1.57,-1.86,16.814,14.231,0.02,g
2458508.66,2458508.662,2019-01-25.1596401,1.51,-1.57,16.885,14.187,0.018,g
2458509.41,2458509.413,2019-01-25.9104885,1.5,-1.6,17.004,14.207,0.017,g
2458509.583,2458509.586,2019-01-26.0831229,1.4,-1.45,17.083,14.201,0.015,g
2458509.762,2458509.764,2019-01-26.2616589,1.55,-1.86,16.822,14.216,0.02,g
2458510.325,2458510.328,2019-01-26.8251377,1.51,-1.6,17.035,14.211,0.016,g
2458510.757,2458510.76,2019-01-27.2572103,1.57,-1.86,16.892,14.225,0.019,g
2458511.556,2458511.559,2019-01-28.0564581,1.38,-1.45,17.104,14.206,0.015,g
2458512.476,2458512.479,2019-01-28.9761231,1.51,-1.6,17.013,14.228,0.017,g
2458512.752,2458512.755,2019-01-29.2519434,1.43,-1.57,17.021,14.205,0.016,g
2458513.428,2458513.431,2019-01-29.9280776,1.46,-1.6,17.041,14.213,0.016,g
2458513.572,2458513.575,2019-01-30.0722814,1.47,-1.57,17.043,14.202,0.016,g
2458514.648,2458514.651,2019-01-31.1482975,1.38,-1.45,17.095,14.205,0.015,g
2458515.649,2458515.651,2019-02-01.1486649,1.38,-1.45,17.044,14.204,0.016,g
2458516.711,2458516.713,2019-02-02.2108018,1.41,-1.45,17.078,14.192,0.015,g
2458517.737,2458517.739,2019-02-03.2365126,1.48,-1.57,17.044,14.202,0.016,g
2458518.687,2458518.69,2019-02-04.1872893,1.38,-1.45,17.094,14.187,0.015,g
2458519.727,2458519.73,2019-02-05.2273771,1.4,-1.45,17.087,14.191,0.015,g
2458520.349,2458520.352,2019-02-05.8491359,1.54,-1.6,17.033,14.224,0.016,g
2458520.595,2458520.598,2019-02-06.0954387,1.47,-1.57,17.037,14.204,0.016,g
2458522.547,2458522.549,2019-02-08.0468246,1.46,-1.45,17.079,14.186,0.015,g
2458522.724,2458522.727,2019-02-08.2244074,1.99,-1.86,16.875,14.197,0.018,g
2458523.343,2458523.345,2019-02-08.8427537,1.47,-1.6,16.975,14.243,0.018,g
2458523.703,2458523.705,2019-02-09.2027996,1.53,-1.86,16.889,14.209,0.018,g
2458527.705,2458527.707,2019-02-13.2045322,1.52,-1.86,16.632,14.264,0.025,g
2458528.298,2458528.3,2019-02-13.7980408,1.67,-1.6,16.996,14.184,0.016,g
2458530.578,2458530.58,2019-02-16.0784129,1.45,-1.45,16.983,14.229,0.017,g
2458531.653,2458531.654,2019-02-17.1526223,1.46,-1.45,16.911,14.221,0.018,g
2458532.326,2458532.328,2019-02-17.8260689,1.56,-1.6,16.761,14.201,0.021,g
2458532.591,2458532.593,2019-02-18.0913267,1.46,-1.57,16.798,14.223,0.02,g
2458533.572,2458533.574,2019-02-19.0724333,1.38,-1.45,16.807,14.174,0.019,g
2458534.269,2458534.27,2019-02-19.7685589,2.36,-1.6,16.8,14.198,0.02,g
2458534.648,2458534.649,2019-02-20.1476710,1.47,-1.57,16.861,14.189,0.019,g
2458535.4,2458535.402,2019-02-20.9002820,1.54,-1.6,15.581,14.342,0.069,g
2458536.434,2458536.436,2019-02-21.9344798,1.53,-1.6,16.388,14.191,0.029,g
2458536.683,2458536.684,2019-02-22.1827239,1.53,-1.86,16.69,14.173,0.021,g
2458537.416,2458537.418,2019-02-22.9162969,1.54,-1.6,16.874,14.191,0.018,g
2458538.369,2458538.371,2019-02-23.8690770,1.55,-1.6,16.957,14.196,0.017,g
2458539.275,2458539.277,2019-02-24.7750638,2.07,-1.6,17.026,14.2,0.016,g
2458539.676,2458539.678,2019-02-25.1760868,1.44,-1.57,17.02,14.211,0.016,g
2458540.376,2458540.377,2019-02-25.8757739,1.6,-1.6,17.018,14.202,0.016,g
2458540.675,2458540.676,2019-02-26.1750128,1.49,-1.57,17.031,14.2,0.016,g
2458541.674,2458541.676,2019-02-27.1743059,1.47,-1.57,17.021,14.187,0.016,g
2458542.659,2458542.66,2019-02-28.1591379,1.44,-1.45,17.093,14.203,0.015,g
2458543.283,2458543.284,2019-02-28.7830423,1.54,-1.6,17.035,14.212,0.016,g
2458543.66,2458543.661,2019-03-01.1600339,1.47,-1.57,17.031,14.194,0.016,g
2458544.66,2458544.661,2019-03-02.1600335,1.45,-1.57,17.024,14.177,0.016,g
2458545.659,2458545.66,2019-03-03.1588394,1.47,-1.57,17.006,14.18,0.016,g
2458546.395,2458546.396,2019-03-03.8946143,1.48,-1.6,17.023,14.191,0.016,g
2458546.658,2458546.659,2019-03-04.1583655,1.49,-1.57,17.023,14.174,0.016,g
2458547.649,2458547.65,2019-03-05.1493873,1.48,-1.57,17.018,14.182,0.016,g
2458548.65,2458548.651,2019-03-06.1497489,1.4,-1.45,17.099,14.195,0.015,g
2458549.305,2458549.306,2019-03-06.8052581,1.48,-1.6,17.025,14.19,0.016,g
2458549.64,2458549.64,2019-03-07.1395841,1.45,-1.57,17.033,14.204,0.016,g
2458550.645,2458550.646,2019-03-08.1452671,1.43,-1.45,17.09,14.2,0.015,g
2458551.634,2458551.635,2019-03-09.1343163,1.46,-1.57,17.034,14.207,0.016,g
2458552.641,2458552.642,2019-03-10.1414178,1.47,-1.57,17.031,14.2,0.016,g
2458557.619,2458557.619,2019-03-15.1187393,1.52,-1.86,16.066,14.193,0.039,g
2458558.621,2458558.622,2019-03-16.1213050,1.49,-1.57,16.968,14.204,0.017,g
2458559.618,2458559.618,2019-03-17.1178449,1.38,-1.45,16.985,14.163,0.016,g
2458560.278,2458560.278,2019-03-17.7777409,1.56,-1.6,16.944,14.205,0.017,g
2458560.615,2458560.615,2019-03-18.1148923,1.55,-1.57,16.898,14.21,0.018,g
2458561.269,2458561.27,2019-03-18.7693126,1.56,-1.6,16.906,14.216,0.018,g
2458561.614,2458561.614,2019-03-19.1139226,1.44,-1.57,16.855,14.186,0.019,g
2458562.578,2458562.579,2019-03-20.0784210,1.48,-1.57,16.928,14.209,0.018,g
2458563.608,2458563.608,2019-03-21.1082204,1.5,-1.57,16.638,14.22,0.023,g
2458564.289,2458564.289,2019-03-21.7891390,1.52,-1.6,16.824,14.219,0.02,g
2458564.604,2458564.604,2019-03-22.1036472,1.49,-1.57,16.861,14.202,0.019,g
2458565.603,2458565.603,2019-03-23.1031743,1.43,-1.57,16.845,14.208,0.019,g
2458566.283,2458566.283,2019-03-23.7834682,1.45,-1.6,16.951,14.218,0.018,g
2458566.598,2458566.598,2019-03-24.0979744,1.48,-1.57,16.927,14.201,0.018,g
2458567.292,2458567.292,2019-03-24.7916646,1.45,-1.6,17.03,14.222,0.016,g
2458567.597,2458567.597,2019-03-25.0967954,1.48,-1.57,16.959,14.188,0.017,g
2458568.248,2458568.248,2019-03-25.7483945,1.58,-1.6,17.031,14.221,0.016,g
2458568.589,2458568.589,2019-03-26.0888864,1.45,-1.57,17.023,14.178,0.016,g
2458570.351,2458570.351,2019-03-27.8513128,1.64,-1.6,17.023,14.202,0.016,g
2458570.583,2458570.582,2019-03-28.0825641,1.43,-1.45,17.084,14.216,0.015,g
2458571.579,2458571.578,2019-03-29.0786318,1.43,-1.45,16.974,14.193,0.017,g
2458572.545,2458572.545,2019-03-30.0452964,1.43,-1.45,16.88,14.202,0.018,g
2458575.292,2458575.291,2019-04-01.7916763,2.26,-1.6,17.024,14.211,0.016,g
2458576.279,2458576.278,2019-04-02.7787951,1.7,-1.6,17.027,14.207,0.016,g
2458576.563,2458576.563,2019-04-03.0632480,1.42,-1.45,17.078,14.215,0.016,g
2458578.502,2458578.501,2019-04-05.0017314,1.41,-1.45,17.067,14.175,0.015,g
2458579.537,2458579.536,2019-04-06.0368733,1.49,-1.57,17.024,14.186,0.016,g
2458580.552,2458580.551,2019-04-07.0518189,1.46,-1.57,17.009,14.192,0.016,g
2458581.529,2458581.528,2019-04-08.0287981,1.43,-1.45,17.092,14.187,0.015,g
2458582.535,2458582.533,2019-04-09.0345194,1.48,-1.57,17.024,14.189,0.016,g
2458583.534,2458583.533,2019-04-10.0340766,1.5,-1.57,17.027,14.2,0.016,g
2458585.478,2458585.476,2019-04-11.9775951,1.79,-1.45,17.028,14.19,0.016,g
2458586.495,2458586.494,2019-04-12.9954,1.46,-1.45,17.004,14.224,0.017,g
2458591.281,2458591.28,2019-04-17.7813849,1.53,-1.6,16.44,14.207,0.028,g
2458592.273,2458592.271,2019-04-18.7729940,1.52,-1.6,16.451,14.083,0.025,g
2458596.486,2458596.484,2019-04-22.9858340,1.54,-1.57,17.041,14.192,0.016,g
2458597.524,2458597.522,2019-04-24.0237778,1.57,-1.57,17.021,14.198,0.016,g
2458599.503,2458599.501,2019-04-26.0034219,1.41,-1.45,17.05,14.198,0.016,g
2458601.245,2458601.243,2019-04-27.7447498,1.53,-1.6,17.024,14.233,0.017,g
2458603.271,2458603.269,2019-04-29.7711364,1.73,-1.6,16.902,14.187,0.018,g
2458604.501,2458604.498,2019-05-01.0006364,1.48,-1.57,17.027,14.184,0.016,g
2458605.49,2458605.488,2019-05-01.9903398,1.45,-1.45,17.074,14.193,0.015,g
2458606.494,2458606.491,2019-05-02.9935225,1.37,-1.45,17.055,14.173,0.015,g
2458608.466,2458608.464,2019-05-04.9664562,1.5,-1.45,17.065,14.19,0.015,g
2458609.477,2458609.475,2019-05-05.9770943,1.45,-1.45,17.081,14.185,0.015,g
2458611.465,2458611.462,2019-05-07.9649548,1.4,-1.45,17.063,14.205,0.016,g
2458614.204,2458614.202,2019-05-10.7044233,1.55,-1.6,17.043,14.215,0.016,g
2458615.2,2458615.197,2019-05-11.6995659,1.71,-1.6,16.835,14.193,0.019,g
2458618.459,2458618.456,2019-05-14.9586002,1.52,-1.57,16.902,14.21,0.018,g
2458619.202,2458619.199,2019-05-15.7016116,1.51,-1.6,16.681,14.223,0.023,g
2458619.481,2458619.478,2019-05-15.9812959,2.17,-1.57,16.793,14.201,0.02,g
2458622.451,2458622.448,2019-05-18.9508156,2.34,-1.57,16.516,14.232,0.027,g
2458688.929,2458688.926,2019-07-24.4292775,1.45,-1.45,16.994,14.203,0.017,g
2458692.671,2458692.668,2019-07-28.1705384,1.63,-1.6,16.962,14.213,0.017,g
2458693.916,2458693.913,2019-07-29.4160584,1.52,-1.57,17.024,14.209,0.016,g
2458695.936,2458695.933,2019-07-31.4362420,1.48,-1.57,16.816,14.19,0.019,g
2458696.939,2458696.937,2019-08-01.4392863,1.52,-1.57,16.791,14.205,0.02,g
2458700.925,2458700.922,2019-08-05.4248310,1.42,-1.45,17.075,14.199,0.015,g
2458701.921,2458701.919,2019-08-06.4211673,1.39,-1.45,17.068,14.184,0.015,g
2458702.662,2458702.66,2019-08-07.1621342,1.51,-1.6,17.032,14.21,0.016,g
2458702.918,2458702.916,2019-08-07.4182184,1.4,-1.45,17.079,14.195,0.015,g
2458703.916,2458703.913,2019-08-08.4155021,1.52,-1.57,17.02,14.188,0.016,g
2458704.655,2458704.653,2019-08-09.1553155,1.58,-1.6,17.019,14.198,0.016,g
2458704.923,2458704.921,2019-08-09.4231006,1.49,-1.57,17.034,14.225,0.016,g
2458705.9,2458705.897,2019-08-10.3995679,1.4,-1.45,17.091,14.21,0.015,g
2458707.901,2458707.899,2019-08-12.4013093,1.44,-1.45,17.083,14.221,0.016,g
2458709.898,2458709.896,2019-08-14.3985010,1.55,-1.57,16.702,14.195,0.022,g
2458710.894,2458710.892,2019-08-15.3944289,1.59,-1.57,16.433,14.158,0.027,g
2458711.891,2458711.889,2019-08-16.3911766,1.44,-1.45,16.719,14.181,0.021,g
2458712.893,2458712.891,2019-08-17.3927682,1.5,-1.57,16.843,14.166,0.018,g
2458713.889,2458713.887,2019-08-18.3892540,1.49,-1.57,16.876,14.199,0.018,g
2458714.637,2458714.635,2019-08-19.1366019,1.61,-1.6,16.908,14.202,0.018,g
2458714.892,2458714.89,2019-08-19.3919745,1.39,-1.57,16.147,14.299,0.04,g
2458715.882,2458715.88,2019-08-20.3821379,1.44,-1.57,16.963,14.187,0.017,g
2458716.648,2458716.646,2019-08-21.1477831,1.49,-1.6,16.872,14.209,0.019,g
2458718.917,2458718.915,2019-08-23.4165322,1.42,-1.45,17.022,14.18,0.016,g
2458720.59,2458720.589,2019-08-25.0904629,1.51,-1.6,16.966,14.213,0.017,g
2458721.905,2458721.903,2019-08-26.4050625,1.37,-1.45,17.02,14.172,0.016,g
2458722.885,2458722.883,2019-08-27.3848199,1.46,-1.57,17.046,14.22,0.016,g
2458723.895,2458723.893,2019-08-28.3948002,1.4,-1.45,17.05,14.193,0.016,g
2458725.896,2458725.894,2019-08-30.3957886,1.4,-1.45,17.078,14.205,0.015,g
2458727.866,2458727.864,2019-09-01.3656380,1.44,-1.45,17.071,14.195,0.015,g
2458728.893,2458728.892,2019-09-02.3933635,1.39,-1.45,17.045,14.177,0.015,g
2458730.593,2458730.592,2019-09-04.0932917,1.48,-1.6,17.023,14.211,0.016,g
2458730.883,2458730.881,2019-09-04.3825885,1.43,-1.45,17.073,14.201,0.015,g
2458733.587,2458733.586,2019-09-07.0874123,1.54,-1.6,17.027,14.205,0.016,g
2458734.869,2458734.868,2019-09-08.3692638,1.4,-1.45,17.076,14.206,0.015,g
2458738.853,2458738.852,2019-09-12.3527491,1.52,-1.57,16.845,14.18,0.019,g
2458739.844,2458739.843,2019-09-13.3439050,1.4,-1.45,16.843,14.157,0.018,g
2458740.815,2458740.815,2019-09-14.3153391,1.67,-1.57,16.859,14.232,0.019,g
2458741.802,2458741.802,2019-09-15.3021432,1.49,-1.45,16.842,14.19,0.019,g
2458750.997,2458750.997,2019-09-24.4966383,1.56,-1.86,16.049,14.125,0.037,g
2458752.63,2458752.63,2019-09-26.1302885,1.54,-1.6,17.027,14.208,0.016,g
2458753.611,2458753.611,2019-09-27.1113071,1.53,-1.6,17.021,14.205,0.016,g
2458753.99,2458753.99,2019-09-27.4900423,1.55,-1.86,16.77,14.203,0.02,g
2458754.631,2458754.631,2019-09-28.1308556,1.5,-1.6,17.002,14.222,0.017,g
2458754.989,2458754.989,2019-09-28.4891092,1.44,-1.86,16.821,14.252,0.02,g
2458755.869,2458755.869,2019-09-29.3687361,1.43,-1.45,17.077,14.181,0.015,g
2458758.595,2458758.595,2019-10-02.0948716,1.58,-1.6,16.96,14.221,0.017,g
2458760.531,2458760.532,2019-10-04.0313210,1.5,-1.6,17.016,14.201,0.016,g
2458761.834,2458761.835,2019-10-05.3338790,1.46,-1.45,17.048,14.205,0.016,g
2458763.88,2458763.88,2019-10-07.3796449,1.38,-1.45,17.026,14.193,0.016,g
2458764.757,2458764.757,2019-10-08.2565934,1.51,-1.57,16.973,14.182,0.017,g
2458765.746,2458765.747,2019-10-09.2464631,1.43,-1.57,16.951,14.224,0.018,g
2458766.788,2458766.789,2019-10-10.2881195,1.45,-1.57,16.969,14.189,0.017,g
2458767.74,2458767.741,2019-10-11.2396839,1.46,-1.57,16.885,14.196,0.018,g
2458768.524,2458768.525,2019-10-12.0243785,1.73,-1.6,15.532,14.453,0.08,g
2458769.559,2458769.56,2019-10-13.0591081,1.63,-1.6,16.842,14.207,0.019,g
2458769.939,2458769.94,2019-10-13.4387274,1.52,-1.86,15.997,14.133,0.039,g
2458771.841,2458771.843,2019-10-15.3413614,1.56,-1.45,16.9,14.156,0.017,g
2458772.621,2458772.622,2019-10-16.1209560,1.58,-1.6,16.828,14.199,0.019,g
2458772.936,2458772.938,2019-10-16.4364475,2.28,-1.86,15.591,14.162,0.058,g
2458773.936,2458773.937,2019-10-17.4358534,1.53,-1.86,16.597,14.161,0.023,g
2458774.729,2458774.73,2019-10-18.2285876,1.45,-1.45,16.957,14.176,0.017,g
2458774.924,2458774.925,2019-10-18.4240769,1.58,-1.86,16.757,14.132,0.019,g
2458775.828,2458775.83,2019-10-19.3284188,1.49,-1.57,16.957,14.168,0.017,g
2458776.851,2458776.852,2019-10-20.3506464,1.51,-1.57,16.994,14.193,0.016,g
2458781.846,2458781.848,2019-10-25.3459732,1.5,-1.57,17.021,14.219,0.016,g
2458783.849,2458783.851,2019-10-27.3487078,1.43,-1.57,17.009,14.211,0.017,g
2458784.898,2458784.899,2019-10-28.3975282,1.52,-1.86,16.904,14.247,0.019,g
2458786.432,2458786.434,2019-10-29.9324429,1.5,-1.6,17.035,14.226,0.016,g
2458786.962,2458786.964,2019-10-30.4617898,1.56,-1.86,16.909,14.232,0.018,g
2458787.957,2458787.96,2019-10-31.4574593,1.53,-1.86,16.89,14.222,0.019,g
2458789.834,2458789.836,2019-11-02.3343459,1.42,-1.45,17.013,14.238,0.017,g
2458792.802,2458792.804,2019-11-05.3021466,1.43,-1.45,17.049,14.261,0.017,g
2458793.799,2458793.802,2019-11-06.2993508,1.35,-1.45,17.06,14.291,0.017,g
2458794.83,2458794.832,2019-11-07.3301096,1.41,-1.45,17.048,14.295,0.017,g
2458795.581,2458795.583,2019-11-08.0809797,1.61,-1.6,16.978,14.281,0.018,g
2458795.699,2458795.701,2019-11-08.1985943,1.38,-1.45,16.966,14.267,0.018,g
2458796.783,2458796.785,2019-11-09.2830254,1.45,-1.57,16.827,14.287,0.021,g
2458799.501,2458799.503,2019-11-12.0007035,1.57,-1.6,16.668,14.289,0.024,g
2458801.667,2458801.67,2019-11-14.1674630,1.47,-1.45,16.55,14.306,0.028,g
2458801.883,2458801.885,2019-11-14.3827351,1.58,-1.86,16.477,14.451,0.034,g
2458802.7,2458802.703,2019-11-15.2003259,1.44,-1.45,16.782,14.318,0.022,g
2458805.743,2458805.746,2019-11-18.2432087,1.39,-1.45,16.975,14.319,0.019,g
2458805.918,2458805.921,2019-11-18.4181946,1.54,-1.86,16.107,14.319,0.042,g
2458806.74,2458806.743,2019-11-19.2401820,1.41,-1.45,16.986,14.326,0.019,g
2458807.607,2458807.61,2019-11-20.1071173,1.55,-1.6,16.192,14.413,0.042,g
2458807.707,2458807.71,2019-11-20.2066989,1.48,-1.45,17.042,14.313,0.018,g
2458808.604,2458808.607,2019-11-21.1043177,1.62,-1.6,16.608,14.286,0.026,g
2458808.723,2458808.726,2019-11-21.2233160,1.53,-1.57,16.989,14.341,0.019,g
2458808.953,2458808.956,2019-11-21.4531042,1.5,-1.86,16.821,14.348,0.022,g
2458809.583,2458809.586,2019-11-22.0827938,1.53,-1.6,16.964,14.343,0.019,g
2458809.702,2458809.704,2019-11-22.2015304,1.46,-1.45,16.966,14.36,0.02,g
2458810.542,2458810.545,2019-11-23.0417854,1.55,-1.6,16.959,14.355,0.02,g
2458810.811,2458810.814,2019-11-23.3114449,1.44,-1.57,16.989,14.38,0.02,g
2458811.696,2458811.699,2019-11-24.1956631,1.45,-1.57,16.994,14.356,0.019,g
2458812.682,2458812.685,2019-11-25.1816982,1.48,-1.57,16.996,14.367,0.019,g
2458813.802,2458813.805,2019-11-26.3015601,1.44,-1.45,17.009,14.346,0.019,g
2458814.765,2458814.768,2019-11-27.2651192,1.36,-1.45,17.007,14.379,0.019,g
2458815.754,2458815.757,2019-11-28.2536783,1.39,-1.45,17.001,14.43,0.02,g
2458816.777,2458816.78,2019-11-29.2768230,1.49,-1.45,17.019,14.409,0.02,g
2458817.819,2458817.822,2019-11-30.3189394,1.42,-1.45,17.018,14.401,0.02,g
2458819.605,2458819.608,2019-12-02.1049055,1.48,-1.57,16.981,14.419,0.021,g
