HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458834.59689,2019-12-17.0936072,bm,1.53,16.374,14.575,0.042,5.374,0.205,g
2458835.56839,2019-12-18.0650957,bm,2.05,99.990,99.990,99.990,99.990,99.990,g
2458835.71532,2019-12-18.2120252,bi,1.53,16.708,14.597,0.031,5.264,0.151,g
2458835.87845,2019-12-18.3751481,bq,1.48,16.488,14.667,0.041,4.934,0.185,g
2458835.87968,2019-12-18.3763878,bq,1.45,16.475,14.620,0.040,5.149,0.187,g
2458835.88090,2019-12-18.3776065,bq,1.48,16.463,14.681,0.042,4.872,0.189,g
2458836.70767,2019-12-19.2043812,bi,1.45,16.871,14.644,0.028,5.043,0.130,g
2458836.70890,2019-12-19.2056078,bi,1.42,16.893,14.670,0.028,4.920,0.127,g
2458836.71012,2019-12-19.2068262,bi,1.47,16.875,14.601,0.027,5.247,0.129,g
2458836.87481,2019-12-19.3715193,bq,1.50,16.474,14.585,0.038,5.323,0.187,g
2458836.87727,2019-12-19.3739730,bq,1.50,16.476,14.687,0.042,4.843,0.187,g
